[2026-04-10T19:26:50,635-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 51ms   /status
[2026-04-10T19:26:51,689-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 1ms    /status
[2026-04-10T19:26:52,722-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 0ms    /status
[2026-04-10T19:26:53,763-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 0ms    /status
[2026-04-10T19:26:54,799-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 0ms    /status
[2026-04-10T19:26:55,831-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 0ms    /status
[2026-04-10T19:26:56,876-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 0ms    /status
[2026-04-10T19:26:57,908-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 1ms    /status
[2026-04-10T19:26:58,938-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 0ms    /status
[2026-04-10T19:26:59,977-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 13ms   /status
[2026-04-10T19:48:40,060-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 85ms   /status
[2026-04-10T19:48:41,104-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 1ms    /status
[2026-04-10T19:48:42,166-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 1ms    /status
[2026-04-10T19:48:43,219-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 0ms    /status
[2026-04-10T19:48:44,263-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 0ms    /status
[2026-04-10T19:48:45,297-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 1ms    /status
[2026-04-10T19:48:46,332-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 0ms    /status
[2026-04-10T19:48:47,368-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 0ms    /status
[2026-04-10T19:48:48,401-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 1ms    /status
[2026-04-10T19:48:49,432-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 1ms    /status
[2026-04-10T19:48:50,471-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 12ms   /status
[2026-04-10T20:55:01,167-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 46ms   /status
[2026-04-10T20:55:02,216-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 1ms    /status
[2026-04-10T20:55:03,256-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 0ms    /status
[2026-04-10T20:55:04,294-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 0ms    /status
[2026-04-10T20:55:05,327-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 0ms    /status
[2026-04-10T20:55:06,361-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 0ms    /status
[2026-04-10T20:55:07,403-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 0ms    /status
[2026-04-10T20:55:08,435-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 1ms    /status
[2026-04-10T20:55:09,462-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 0ms    /status
